Day,Month,Year,Species,Plot,Sex,Weight,Calibrated
16,7,2013,DM,2,F,-99999,Y
16,7,2013,DM,7,M,33,Y
16,7,2013,DM,3,M,-99999,Y
16,7,2013,DM,1,M,-99999,Y
18,7,2013,DM,3,M,40,Y
18,7,2013,DM,7,M,48,Y
18,7,2013,DM,4,F,29,Y
18,7,2013,DM,4,F,46,Y
18,7,2013,DM,7,M,36,Y
18,7,2013,DM,7,F,35,Y
18,7,2013,DM,8,F,22,Y
18,7,2013,DM,7,F,42,Y
18,7,2013,DM,4,F,41,Y
18,7,2013,DM,6,F,37,Y
19,8,2013,DO,8,F,52,Y
17,10,2013,DO,3,F,33,Y
17,10,2013,DO,3,F,50,Y
17,10,2013,DO,17,F,48,Y
17,10,2013,DO,17,F,31,Y
18,10,2013,DO,8,F,41,Y
12,11,2013,DO,1,F,44,Y
12,11,2013,DO,1,M,48,Y
14,11,2013,DO,8,F,39,Y
10,12,2013,DO,9,F,40,Y
10,12,2013,DO,1,M,45,Y
11,12,2013,DO,8,F,41,Y
12,11,2013,DS,9,F,117,Y
12,11,2013,DS,1,F,121,Y
12,11,2013,DS,20,M,115,Y
12,11,2013,DS,9,F,120,Y
13,11,2013,DS,17,F,118,Y
13,11,2013,DS,11,F,126,Y
13,11,2013,DS,17,M,132,N
13,11,2013,DS,14,F,113,N
13,11,2013,DS,11,F,122,Y
13,11,2013,DS,4,F,107,Y
13,11,2013,DS,4,F,115,Y
9,1,2014,DM,1,M,40,Y
9,1,2014,DM,1,F,36,Y
9,1,2014,DS,1,F,135,Y
20,1,2014,DM,1,F,39,Y
20,1,2014,DM,1,M,43,Y
20,1,2014,DS,1,F,144,Y
13,3,2014,DM,1,F,51,Y
13,3,2014,DM,1,F,44,Y
13,3,2014,DS,1,F,146,Y
8,1,2014,NA,2,,-99999,Y
8,1,2014,DM,2,M,44,Y
8,1,2014,DM,2,M,38,Y
8,1,2014,OL,2,,-99999,Y
8,1,2014,PE,2,M,22,Y
8,1,2014,DM,2,M,38,Y
8,1,2014,DM,2,M,48,Y
8,1,2014,DM,2,M,43,Y
8,1,2014,DM,2,F,35,Y
8,1,2014,DM,2,M,43,Y
8,1,2014,DM,2,F,37,Y
8,1,2014,PF,2,F,7,Y
8,1,2014,DM,2,M,45,Y
8,1,2014,OT,2,,-99999,Y
8,1,2014,DS,2,M,157,N
8,1,2014,OX,2,,-99999,Y
18,2,2014,NA,2,M,218,N
18,2,2014,PF,2,F,7,Y
18,2,2014,DM,2,M,52,Y
8,1,2015,PF,3,M,7,Y
18,2,2015,OT,3,M,24,Y
18,2,2015,OT,3,F,23,Y
11,3,2015,NA,3,M,232,Y
11,3,2015,OT,3,F,22,Y
11,3,2015,OT,3,M,26,Y
11,3,2015,PF,3,M,8,Y
8,4,2015,NA,3,F,-99999,Y
6,5,2015,,3,,-99999,Y
18,5,2015,NA,3,F,182,Y
9,6,2015,OT,3,F,29,Y
8,7,2015,NA,3,F,115,Y
8,7,2015,NA,3,M,190,Y
8,1,1978,DM,4,F,37,Y
8,1,1978,DS,4,F,128,Y
8,1,1978,DM,4,F,42,Y
8,1,1978,DM,4,M,37,Y
8,1,1978,DM,4,M,-99999,Y
8,1,1978,DM,4,F,48,Y
8,1,1978,DM,4,M,45,Y
8,1,1978,DM,4,F,42,Y
8,1,1978,DO,4,M,52,Y
8,1,1978,OL,4,M,35,Y
